電腦編號,里別,防空疏散避難設施地址,地下層數,可容納人數,轄管分局,備駐
QMA00432,大同里,屏東縣屏東市大同里02鄰逢甲路66號,1,26.0,屏東分局,
QMA00433,大同里,屏東縣屏東市大同里02鄰逢甲路68號,1,26.0,屏東分局,
QMA00126,大同里,屏東縣屏東市大同里06鄰光復路24號,1,106.0,屏東分局,
QMA00129,大同里,屏東縣屏東市大同里06鄰光復路60號,1,266.0,屏東分局,
QMA00127,大同里,屏東縣屏東市大同里06鄰光復路74號,1,26.0,屏東分局,
QMA00417,大同里,屏東縣屏東市大同里01鄰永福路1號,1,26.0,屏東分局,
QMA00419,大同里,屏東縣屏東市大同里01鄰永福路3號,1,26.0,屏東分局,
QMA00418,大同里,屏東縣屏東市大同里01鄰永福路5號,1,26.0,屏東分局,
QMA00,大同里,屏東縣屏東市大同里01鄰永福路6號,1,57.0,屏東分局,
QMA00386,大同里,屏東縣屏東市大同里03鄰永福路21號,1,26.0,屏東分局,共有2處、總計可容納人數40人
QMA000395,大同里,屏東縣屏東市大同里03鄰永福路21號,1,14.0,屏東分局,共有2處、總計可容納人數40人
QMA00436,大同里,屏東縣屏東市大同里01鄰永福路26號,1,26.0,屏東分局,
" QMA00",大同里,屏東縣屏東市大同里02鄰永福路27號,1,26.0,屏東分局,
QMA02041,大同里,屏東縣屏東市大同里01鄰永福路31號,1,208.0,屏東分局,
QMA00,大同里,屏東縣屏東市大同里03鄰永福路51號,1,50.0,屏東分局,共有2處、總計可容納人數76人
QMA00,大同里,屏東縣屏東市大同里01鄰永福路51號,1,26.0,屏東分局,共有2處、總計可容納人數76人
QMA00437,大同里,屏東縣屏東市大同里01鄰永福路53號,1,26.0,屏東分局,
QMA00394,大同里,屏東縣屏東市大同里03鄰南京路6號,1,13.0,屏東分局,
QMA00438,大同里,屏東縣屏東市大同里04鄰南京路21號,1,33.0,屏東分局,
QMA00165,大同里,屏東縣屏東市大同里01鄰福建路19號,1,26.0,屏東分局,
QMA00409,大同里,屏東縣屏東市大同里06鄰福建路85號,1,48.0,屏東分局,
QMA00161,大同里,屏東縣屏東市大同里05鄰福建路87號,1,26.0,屏東分局,
QMA00162,大同里,屏東縣屏東市大同里05鄰福建路87號之1,1,26.0,屏東分局,
QMA00047,大同里,屏東縣屏東市大同里03鄰復興路46號,1,33.0,屏東分局,
QMA00048,大同里,屏東縣屏東市大同里03鄰復興路56號,1,20.0,屏東分局,
QMA02042,大同里,屏東縣屏東市大同里03鄰復興北路14號,1,236.0,屏東分局,
QMA01992,大同里,屏東縣屏東市大同里01鄰北平路9號,1,1053.0,屏東分局,
QMA00183,大同里,屏東縣屏東市大同里03鄰北平路9號之3,1,292.0,屏東分局,
QMA00180,大同里,屏東縣屏東市大同里03鄰北平路11號,1,130.0,屏東分局,
QMA00179,大同里,屏東縣屏東市大同里03鄰北平路23號之6,1,133.0,屏東分局,
QMA00182,大同里,屏東縣屏東市大同里03鄰北平路23號之7,1,165.0,屏東分局,
QMA00181,大同里,屏東縣屏東市大同里03鄰北平路36號,1,218.0,屏東分局,
QMA00187,大同里,屏東縣屏東市大同里05鄰公園路62號,1,80.0,屏東分局,
QMA00186,大同里,屏東縣屏東市大同里05鄰公園路66號,1,332.0,屏東分局,
QMA00184,大同里,屏東縣屏東市大同里03鄰公園路73號,1,250.0,屏東分局,
QMA00153,大同里,屏東縣屏東市大同里07鄰忠孝路104號,1,33.0,屏東分局,
QMA00189,大同里,屏東縣屏東市大同里04鄰忠孝路118-1號,1,119.0,屏東分局,
QMA00190,大同里,屏東縣屏東市大同里04鄰忠孝路120號之1,1,362.0,屏東分局,
QMA00185,大同里,屏東縣屏東市大同里03鄰忠孝路145號,1,159.0,屏東分局,
QMA00188,大同里,屏東縣屏東市大同里成功路187號,1,80.0,屏東分局,
QMA00377,大同里,屏東縣屏東市大同里02鄰信義路141-3,1,1005.0,屏東分局,
QMA01991,大同里,屏東縣屏東市大同里02鄰信義路143號,1,1866.0,屏東分局,
QMA00135,大同里,屏東縣屏東市大同里06鄰南昌街1號,1,26.0,屏東分局,
QMA00134,大同里,屏東縣屏東市大同里06鄰南昌街3號,1,33.0,屏東分局,
QMA00132,大同里,屏東縣屏東市大同里06鄰南昌街13號,1,26.0,屏東分局,
QMA00130,大同里,屏東縣屏東市大同里06鄰南昌街15號,1,10.0,屏東分局,
QMA00133,大同里,屏東縣屏東市大同里06鄰南昌街21號,1,15.0,屏東分局,
QMA00139,大同里,屏東縣屏東市大同里03鄰蘇州街1號,1,26.0,屏東分局,
QMA00141,大同里,屏東縣屏東市大同里03鄰蘇州街23號,1,26.0,屏東分局,
QMA00138,大同里,屏東縣屏東市大同里03鄰蘇州街25號,1,26.0,屏東分局,共有2處、總計可容納人數52人
QMA00146,大同里,屏東縣屏東市大同里03鄰蘇州街25號,1,26.0,屏東分局,共有2處、總計可容納人數52人
QMA00144,大同里,屏東縣屏東市大同里03鄰蘇州街27號,1,26.0,屏東分局,
QMA00145,大同里,屏東縣屏東市大同里03鄰蘇州街29號,1,26.0,屏東分局,
QMA00147,大同里,屏東縣屏東市大同里03鄰蘇州街31號,1,26.0,屏東分局,
QMA00143,大同里,屏東縣屏東市大同里03鄰蘇州街33號,1,26.0,屏東分局,
QMA00142,大同里,屏東縣屏東市大同里03鄰蘇州街35號,1,26.0,屏東分局,共有2處、總計可容納人數52人
QMA00151,大同里,屏東縣屏東市大同里03鄰蘇州街35號,1,26.0,屏東分局,共有2處、總計可容納人數52人
QMA00440,大同里,屏東縣屏東市大同里06鄰蘇州街60號,1,33.0,屏東分局,共有3處、總計可容納人數69人
QMA00,大同里,屏東縣屏東市大同里06鄰蘇州街60號,1,10.0,屏東分局,共有3處、總計可容納人數69人
QMA00443,大同里,屏東縣屏東市大同里06鄰蘇州街60號,1,26.0,屏東分局,共有3處、總計可容納人數69人
QMA00140,大同里,屏東縣屏東市大同里04鄰蘇州街75號,1,756.0,屏東分局,共有3處、總計可容納人數2410人
QMA00148,大同里,屏東縣屏東市大同里04鄰蘇州街75號,1,1093.0,屏東分局,共有3處、總計可容納人數2410人
QMA00154,大同里,屏東縣屏東市大同里04鄰蘇州街75號,1,561.0,屏東分局,共有3處、總計可容納人數2410人
QMA00152,大同里,屏東縣屏東市大同里03鄰桂林街9號,1,26.0,屏東分局,
