電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,停車場坡道,建築物名稱
B087,中山里,桃園市龍潭區中山里大昌路一段10號,"24.86984786085459, 121.21473784985055",3,2424,龍潭分局,,O,華曜建設
B088,中正里,桃園市龍潭區中正里中正路443號,"24.858975702362955, 121.2188894960014",2,960,龍潭分局,,O,城成開發
C001,武漢里,桃園市龍潭區武漢路100號,"24.871208484048793, 121.23439464303151",1,392,龍潭分局,,O,武漢國小
C002,九龍里,桃園市龍潭區中興路九龍段66-1號,"24.88070744928803, 121.2491074933083",1,763,龍潭分局,,,雅麗傢俱
C003,武漢里,桃園市龍潭區中興路317巷74弄7號,"24.871739684048574, 121.23352441049886",1,385,龍潭分局,,,裕萬建設
C004,九龍里,桃園市龍潭區中興路九龍段50巷79號,"24.88174428515195, 121.24992355652536",1,1621,龍潭分局,,,九兆金屬工業
C005,中興里,桃園市龍潭區中興路392巷9弄29衖17號,"24.87340539676222, 121.23019836335975",2,547,龍潭分局,,O,主城建設
C006,黃唐里,桃園市龍潭區成功路283巷12弄9號,"24.87748012209484, 121.22842678026956",2,390,龍潭分局,,O,榮正建設
C007,永興里,桃園市龍潭區中興路461巷2弄31號,"24.87120441645965, 121.22866189515678",1,212,龍潭分局,,,鄧瑞雲
C008,九龍里,桃園市龍潭區九龍里中興路九龍段129巷135弄觀景樓社區,"24.87814474933168, 121.24595929981683",1,638,龍潭分局,,,世勝建設
C009,黃唐里,桃園市龍潭區福龍路二段359巷177弄56號,"24.885930084041977, 121.22598579145973",2,784,龍潭分局,,O,居萬建設
C010,九龍里,桃園市龍潭區九龍里健行路345巷59弄1號,"24.867338856873427, 121.23041462214357",1,650,龍潭分局,,O,永鋒建設
C011,中興里,桃園市龍潭區中興里天龍四巷11號,"24.876301117086303, 121.23139269700555",3,1420,龍潭分局,,O,駿瀚建設
C012,東興里,桃園市龍潭區中興路211巷22弄1-12號,"24.873774684047614, 121.2357300681699",2,822,龍潭分局,,O,廣聯建設
C014,九龍里,桃園市龍潭區九龍里中興路九龍段129巷91號,"24.878168054094914, 121.24579744303179",1,443,龍潭分局,,O,義美食品公司
C015,東興里,桃園市龍潭區中興路211巷70弄1號,"24.872602684048143, 121.2366437104988",2,2594,龍潭分局,,,李奇亮
C016,九龍里,桃園市龍潭區九龍里悅華路100號,"24.87000813848869, 121.24797875652501",1,474,龍潭分局,,,桃園高爾夫球場
C017,永興里,桃園市龍潭區中興路433-1號,"24.872586944286766, 121.22980329066445",1,46,龍潭分局,,,全聯社-中興店
C020,永興里,桃園市龍潭區中興路513巷16號,"24.87060936400303, 121.22604048308202",1,297,龍潭分局,,,民祥建設公司
C023,中興里,桃園市龍潭區中興路288巷45號,"24.87556914870293, 121.23387666638982",1,527,龍潭分局,,,營豐聯建設
C024,九龍里,桃園市龍潭區九龍里中興路九龍段3巷13號,"24.879732749672453, 121.24975328351202",1,751,龍潭分局,,,三義鋼鐵
C025,九龍里,桃園市龍潭區九龍里中興路九龍段129巷91號,"24.878508717265802, 121.24565796817002",1,240,龍潭分局,,,義美食品公司
C026,九龍里,桃園市龍潭區九龍里中興路九龍段11號,"24.88015744950501, 121.2490021970056",1,98,龍潭分局,,,建旭工業
C027,北興里,桃園市龍潭區北興里中興路18巷20號,"24.87751891071874, 121.24183144930969",1,706,龍潭分局,,O,千輝科技公司
C028,祥和里,桃園市龍潭區龍平路1107巷55弄26號,"24.885733684042023, 121.23921708351217",3,1688,龍潭分局,,O,清昱建設有限公司
C029,九龍里,桃園市龍潭區九龍里中興路九龍段129巷91號,"24.878469784379522, 121.24555067981484",1,63,龍潭分局,,,"義美食品
公司"
C030,黃唐里,桃園市龍潭區黃唐里武中路20號,"24.875587785530836, 121.22808186598985",2,776,龍潭分局,,O,合眾建築經理股份有限公司
C031,九龍里,桃園市龍潭區九龍里五福街317號2樓,"24.86461618111301, 121.22543453933419",1,486,龍潭分局,,O,元德建設有限公司
C032,九龍里,桃園市龍潭區九龍里雙連街280號二樓,"24.85788680081819, 121.22570758166297",1,266,龍潭分局,,,吉賀建設有限公司
C033,北興里,桃園市龍潭區北興里民豐一街99號,"24.880253618641255, 121.24253108166343",2,2675,龍潭分局,,O,手信坊股份有限公司
C034,黃唐里,桃園市龍潭區黃唐里龍平路820巷8-12號,"24.884854072585664, 121.23160869792473",2,611,龍潭分局,,O,捷登建設有限公司
C035,祥和里,桃園市龍潭區祥和里武中路628巷67號,"24.886296280016914, 121.23751205603588",3,1472,龍潭分局,,O,大維建設
D001,佳安里,(機敏單位)桃園市龍潭區佳安里文化路1000號,,1,2443,龍潭分局,,O,核能研究所
D006,建林里,桃園市龍潭區建林里建國路75巷12弄11號,"24.845440676594226, 121.2345332681692",1,880,龍潭分局,,,黃宗和宅
D007,建林里,桃園市龍潭區佳安里中正路三林段500號,"24.844624058700337, 121.23730620676085",2,2820,龍潭分局,,O,桃園客家文物館
D008,富林里,(機敏單位)桃園市龍潭區富林里中正路三林段617號,,1,4412,龍潭分局,,O,桃園女子監獄
D010,三坑里,桃園市龍潭區三坑里永昌路51巷85號,"24.818240031562343, 121.24240088079716",1,525,龍潭分局,,O,三坑國小
D011,大平里,桃園市龍潭區大平里芝麻1號,"24.82407397595018, 121.23672389120838",1,396,龍潭分局,,O,芝麻酒店
D012,大平里,桃園市龍潭區大平里二坪36號,"24.817711408067673, 121.24283965467505",2,33,龍潭分局,,,葉步水宅
D013,大平里,桃園市龍潭區大平里民強街1號,"24.81985688407306, 121.23564947001731",1,3258,龍潭分局,,,太平洋水鄉
D014,大平里,桃園市龍潭區大平里民治18街45號,"24.821406670935282, 121.23926130680034",2,445,龍潭分局,,O,卯盛建設公司
D015,大平里,桃園市龍潭區大平里民有路257號,"24.840932974520584, 121.23332598121112",3,2376,龍潭分局,,O,順欣興業公司
D016,建林里,桃園市龍潭區建林里民族路278巷88弄3衖1號,"24.83850566566162, 121.23300927325855",1,1797,龍潭分局,,O,景華建設公司
D017,建林里,桃園市龍潭區建林里民族路370巷74號,"24.83629105480276, 121.23342658523912",1,339,龍潭分局,,O,湯茂松林
D018,三林里,桃園市龍潭區三林里民族路416巷16號,"24.84071453370095, 121.24042140534658",1,456,龍潭分局,,O,許潘英子
D020,佳安里,桃園市龍潭區佳安里文化路137號,"24.838046038450074, 121.23721692584014",1,553,龍潭分局,,O,石門國中
D022,佳安里,桃園市龍潭區佳安里佳安西路4巷101號,"24.825492571896856, 121.2372825816622",1,807,龍潭分局,,O,台北教會(佳安老人長照)
D023,大平里,桃園市龍潭區大平里龍源路大平段278之1號,"24.834476507068757, 121.2473569459828",1,1205,龍潭分局,,O,坤業建設公司
D024,三坑里,桃園市龍潭區三坑里19鄰永昌路24巷1號,"24.818153339759863, 121.237980987208",1,632,龍潭分局,,O,基宏實業公司
D025,大平里,桃園市龍潭區大平里民治路300號,"24.83677487455315, 121.2338729835111",2,6111,龍潭分局,,O,財團法人圓桌教育基金會
D026,三林里,桃園市龍潭區三林里1民族路372號,"24.83540519730615, 121.23245850075546",1,975,龍潭分局,,O,卯盛建設有限公司
