類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般建築,ZN2387,翠屏里,高雄市楠梓區翠屏里德賢路208號,"22.726838,120.306479",1,1269.0,楠梓分局,
學校,ZN1461,清豐里,高雄市楠梓區清豐里楠梓新路426號,"22.73126938,120.327912925022",1,1303.0,楠梓分局,
一般建築,ZN2490,中陽里,高雄市楠梓區中陽里朝明路108號,"22.723913,120.327707",1,1328.0,楠梓分局,
一般建築,ZN2270,翠屏里,高雄市楠梓區翠屏里加仁路70巷3號,"22.727872,120.301462",1,1341.0,楠梓分局,
一般建築,ZN2299,清豐里,高雄市楠梓區清豐里旗楠路534號,"22.737499,120.335218",1,1343.0,楠梓分局,
一般建築,ZN2288,翠屏里,高雄市楠梓區翠屏里德賢路210號,"22.726828,120.306419",1,1427.0,楠梓分局,
一般建築,ZN2601,中和里,高雄市楠梓區中和里大學二十九路321號,"22.728797,120.275613",1,1438.0,楠梓分局,
一般建築,ZN2424,宏昌里,高雄市楠梓區宏昌里藍昌路360巷30號,"22.722669,120.291809",1.2,1448.0,楠梓分局,
一般建築,ZN2620,藍田里,高雄市楠梓區藍田里高雄大學路636號,"22.73189589,120.284824881813",1,1472.0,楠梓分局,
一般建築,ZN2272,翠屏里,高雄市楠梓區翠屏里德民路356巷60弄3號,"22.728456,120.305007",1,1476.0,楠梓分局,
一般建築,ZN2478,清豐里,高雄市楠梓區清豐里卓越路251號,"22.751469,120.32861",1,1522.0,楠梓分局,
政府機關,ZN2435,加昌里,高雄市楠梓區加昌里加昌路631號,"22.716397,120.302349",1,1530.0,楠梓分局,
一般建築,ZN2324,翠屏里,高雄市楠梓區翠屏里加仁路76號,"22.72791,120.301571",1,1536.0,楠梓分局,
一般建築,ZN2434,仁昌里,高雄市楠梓區仁昌里惠民路353號,"22.723951,120.291582",1,1537.0,楠梓分局,
一般建築,ZN2565,藍田里,高雄市楠梓區藍田里大學十七街380號,"22.728912,120.282577",1.2,1544.0,楠梓分局,
一般建築,ZN2385,五常里,高雄市楠梓區五常里楠陽路63巷58號,"22.723956,120.331729",1,1548.0,楠梓分局,
一般建築,ZN2388,秀昌里,高雄市楠梓區秀昌里加昌路781號,"22.714001,120.295075",1,1558.0,楠梓分局,
一般建築,ZN2469,加昌里,高雄市楠梓區加昌里加宏路191巷53號,"22.715468,120.294895",1.2,1577.0,楠梓分局,
一般建築,ZN2626,金田里,高雄市楠梓區金田里金富街113號,"22.725534,120.319541",1.2.3,1598.0,楠梓分局,
一般建築,ZN2280,清豐里,高雄市楠梓區清豐里清安街42巷3號,"22.737811,120.338488",1,1623.0,楠梓分局,
一般建築,ZN2420,和昌里,高雄市楠梓區和昌里晉昌街13號,"22.719957,120.283158",1,1630.0,楠梓分局,
一般建築,ZN2479,五常里,高雄市楠梓區五常里興楠路355巷82弄2號,"22.728071,120.332886",1,1659.0,楠梓分局,
一般建築,ZN2305,翠屏里,高雄市楠梓區翠屏里德祥路172號,"22.726673,120.308122",1,1677.0,楠梓分局,
一般建築,ZN2472,五常里,高雄市楠梓區五常里興楠路355巷58號,"22.728196,120.33194",1.2,1698.0,楠梓分局,
一般建築,ZN2406,宏昌里,高雄市楠梓區宏昌里信昌街28號,"22.717113,120.293086",1,1703.0,楠梓分局,
一般建築,ZN2319,翠屏里,高雄市楠梓區翠屏里德賢路550巷10弄1號,"22.726319,120.301394",1,1710.0,楠梓分局,
一般建築,ZN2524,中和里,高雄市楠梓區中和里大學六十二街71號,"22.73053,120.273167",1,1728.0,楠梓分局,
一般建築,ZN2258,仁昌里,高雄市楠梓區仁昌里德民路150號,"22.727018,120.310586",1,1787.0,楠梓分局,
一般建築,ZN2328,興昌里,高雄市楠梓區興昌里右昌街487巷30號,"22.71570558,120.286269425021",1,1789.0,楠梓分局,
一般建築,ZN2517,藍田里,高雄市楠梓區藍田里大學十七街300號,"22.727782,120.283525",1,1807.0,楠梓分局,
一般建築,ZN2422,宏昌里,高雄市楠梓區宏昌里藍昌路360巷77號,"22.722605,120.292897",1.2,1850.0,楠梓分局,
一般建築,ZN2400,翠屏里,高雄市楠梓區翠屏里德賢路220巷85號,"22.72876,120.306155",1,1934.0,楠梓分局,
一般建築,ZN2460,東寧里,高雄市楠梓區東寧里土庫一路175號,"22.735925,120.329552",1.2,1936.0,楠梓分局,
一般建築,ZN2347,加昌里,高雄市楠梓區加昌里壽民路222號,"22.716301,120.296576",1,1938.0,楠梓分局,
一般建築,ZN2366,翠屏里,高雄市楠梓區翠屏里德惠路60巷5號,"22.726769,120.303186",1,1945.0,楠梓分局,
一般建築,ZN2371,五常里,高雄市楠梓區五常里常德路305號,"22.736865,120.336952",1,1963.0,楠梓分局,
一般建築,ZN2340,清豐里,高雄市楠梓區清豐里清成街73號,"22.737302,120.335605",1,2008.0,楠梓分局,
一般建築,ZN2488,藍田里,高雄市楠梓區藍田里高雄大學路205號,"22.726182,120.284779",1.2,2011.0,楠梓分局,
一般建築,ZN2615,金田里,高雄市楠梓區金田里金和街168巷62號,"22.724074,120.31859",1.2.3,2019.0,楠梓分局,
一般建築,ZN2351,翠屏里,高雄市楠梓區翠屏里德賢路248巷30號,"22.727087,120.305567",1.2,2042.0,楠梓分局,
一般建築,ZN2310,加昌里,高雄市楠梓區加昌里壽民路180巷1弄13號,"22.717202,120.29613",1,2068.0,楠梓分局,
一般建築,ZN2302,瑞屏里,高雄市楠梓區瑞屏里瑞仁路56號,"22.723507,120.313191",1,2085.0,楠梓分局,
一般建築,ZN2339,清豐里,高雄市楠梓區清豐里清成街92號,"22.737548,120.336061",1,2089.0,楠梓分局,
一般建築,ZN2359,加昌里,高雄市楠梓區加昌里外環西路119號,"22.717976,120.299927",1,2162.0,楠梓分局,
一般建築,ZN2322,惠民里,高雄市楠梓區惠民里高楠公路1692號,"22.727347,120.322089",1,2164.0,楠梓分局,
一般建築,ZN2277,翠屏里,高雄市楠梓區翠屏里德民路400巷37弄13號,"22.72708275,120.29967194179",1,2184.0,楠梓分局,
一般建築,ZN2446,和昌里,高雄市楠梓區和昌里軍校路973號,"22.711741,120.291807",1.2,2192.0,楠梓分局,
一般建築,ZN2282,清豐里,高雄市楠梓區清豐里清平街16號,"22.735372,120.338623",1,2203.0,楠梓分局,
學校,ZN2321,建昌里,高雄市楠梓區建昌里加昌路910號,"22.713608,120.291989",1,2210.0,楠梓分局,
一般建築,ZN2442,中和里,高雄市楠梓區中和里德中路280巷251號,"22.72538488,120.276031767349",1,2228.0,楠梓分局,
一般建築,ZN2354,仁昌里,高雄市楠梓區仁昌里壽豐路410號,"22.724969,120.296402",1.2,2252.0,楠梓分局,
一般建築,ZN2321,五常里,高雄市楠梓區五常里興西路128號,"22.727592,120.333218",1.2,2314.0,楠梓分局,
一般建築,ZN2415,清豐里,高雄市楠梓區清豐里旗楠路67號,"22.732482,120.330051",1,2348.0,楠梓分局,
一般建築,ZN2518,藍田里,高雄市楠梓區藍田里藍田路845號,"22.727761,120.282218",1,2378.0,楠梓分局,
一般建築,ZN2398,翠屏里,高雄市楠梓區翠屏里德賢路380巷26號,"22.727091,120.304508",1,2381.0,楠梓分局,
一般建築,ZN2278,翠屏里,高雄市楠梓區翠屏里德民路52號,"22.728372,120.312393",1,2411.0,楠梓分局,
一般建築,ZN2317,久昌里,高雄市楠梓區久昌里久昌街28巷1號,"22.709584,120.284698",1,2434.0,楠梓分局,
一般建築,ZN2448,清豐里,高雄市楠梓區清豐里安泰街180號,"22.745049,120.336616",1,2435.0,楠梓分局,
學校,ZN2287,藍田里,高雄市楠梓區藍田里藍昌路416號,"22.729485,120.292212",1,2451.0,楠梓分局,
一般建築,ZN2413,加昌里,高雄市楠梓區加昌里壽民路146號,"22.718166,120.295575",1.2,2481.0,楠梓分局,
