類別,電腦編號,村里別,地址,緯經度,避難樓層,可容納人數,轄管分局,備註
一般住宅,COA00208,安富里,臺南市安南區安富里20鄰安富街178號,"23.027056,120.197451",B01,48.0,第三分局,
一般住宅,COA00209,安富里,臺南市安南區安富里20鄰安富街180號,"23.027035,120.197408",B01,50.0,第三分局,
一般住宅,COA00210,安富里,臺南市安南區安富里20鄰安富街182號,"23.027049,120.19736",B01,50.0,第三分局,
一般住宅,COA00211,安富里,臺南市安南區安富里20鄰安富街184號,"23.027034,120.197318",B01,50.0,第三分局,
一般住宅,COA00212,安富里,臺南市安南區安富里20鄰安富街186號,"23.027017,120.197266",B01,50.0,第三分局,
一般住宅,COA00213,安富里,臺南市安南區安富里20鄰安富街188號,"23.027002,120.197221",B01,50.0,第三分局,
一般住宅,COA00214,安富里,臺南市安南區安富里20鄰安富街190號,"23.026985,120.197179",B01,50.0,第三分局,
一般住宅,COA00243,安富里,臺南市安南區安富里6鄰府安路五段153巷3弄2號,"23.023188,120.19829",B01,57.0,第三分局,
一般住宅,COA00244,安富里,臺南市安南區安富里6鄰府安路五段153巷7弄2號,"23.023444,120.198241",B01,57.0,第三分局,
一般住宅,COA00245,安富里,臺南市安南區安富里19鄰安富街197號,"23.026702,120.197049",B01,43.0,第三分局,
一般住宅,COA00246,安富里,臺南市安南區安富里19鄰安富街195號,"23.02671,120.197095",B01,50.0,第三分局,
一般住宅,COA00247,安富里,臺南市安南區安富里19鄰安富街193號,"23.026727,120.197145",B01,50.0,第三分局,
一般住宅,COA00248,安富里,臺南市安南區安富里19鄰安富街191號,"23.026713,120.197188",B01,50.0,第三分局,
一般住宅,COA00249,安富里,臺南市安南區安富里20鄰安富街198號,"23.026955,120.196989",B01,50.0,第三分局,
一般住宅,COA00250,安富里,臺南市安南區安富里19鄰安富街197號,"23.026702,120.197049",B01,50.0,第三分局,
一般住宅,COA00251,安富里,臺南市安南區安富里19鄰安富街185號,"23.02672,120.197329",B01,50.0,第三分局,
一般住宅,COA00252,安富里,臺南市安南區安富里19鄰安富街183號,"23.026751,120.197374",B01,50.0,第三分局,
一般住宅,COA00253,安富里,臺南市安南區安富里19鄰安富街187號,"23.026734,120.197283",B01,50.0,第三分局,
一般住宅,COA00254,安富里,臺南市安南區安富里19鄰安富街179號,"23.026783,120.197467",B01,50.0,第三分局,
一般住宅,COA00255,安富里,臺南市安南區安富里19鄰安富街177號,"23.026774,120.197518",B01,50.0,第三分局,
一般住宅,COA00256,安富里,臺南市安南區安富里19鄰安富街175號,"23.026789,120.19756",B01,50.0,第三分局,
一般住宅,COA00257,安富里,臺南市安南區安富里19鄰安富街173號,"23.026806,120.197603",B01,50.0,第三分局,
一般住宅,COA00285,安富里,臺南市安南區安富里19鄰安富街171號,"23.026789,120.197648",B01,42.0,第三分局,
一般住宅,COA00286,安富里,臺南市安南區安富里19鄰安富街199巷3弄1號,"23.026561,120.197094",B01,70.0,第三分局,
一般住宅,COA00287,安富里,臺南市安南區安富里19鄰安富街199巷3弄2號,"23.026392,120.197126",B01,70.0,第三分局,
一般住宅,COA00288,安富里,臺南市安南區安富里19鄰安富街199巷3弄3號,"23.026582,120.197166",B01,70.0,第三分局,
一般住宅,COA00289,安富里,臺南市安南區安富里19鄰安富街199巷3弄4號,"23.026399,120.197203",B01,70.0,第三分局,
一般住宅,COA00290,安富里,臺南市安南區安富里19鄰安富街199巷3弄5號,"23.026586,120.197239",B01,57.0,第三分局,
