"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
—,QMA02077,中正里,屏東縣屏東市中正里09鄰中正路586號,"22.68692754402828, 120.4963740817356",1,37.0,屏東分局,
—,QMA02302,中正里,屏東縣屏東市中正里15鄰中正路688號,"22.689127150421125, 120.49872985290021",1,33.0,屏東分局,
—,QMA02298,中正里,屏東縣屏東市中正里21鄰中正路688巷1號,"22.68932459970193, 120.49892070872346",1,40.0,屏東分局,
—,QMA02296,中正里,屏東縣屏東市中正里22鄰中正路722號,"22.69035544676527, 120.49994693940639",1,34.0,屏東分局,
元大銀行,QMA02106,中正里,屏東縣屏東市中正里22鄰廣東路690號,"22.685737458685605, 120.49623236824166",1,452.0,屏東分局,
和平國小/A棟,QMA02306,中正里,屏東縣屏東市中正里07鄰華正路80號,"22.6869677554474, 120.50177961241849",1,1323.0,屏東分局,共有2處、總計可容納人數1806人
和平國小/專科大樓,QMA02152,中正里,屏東縣屏東市中正里07鄰華正路80號,"22.68711083179693, 120.5016119631726",1,483.0,屏東分局,共有2處、總計可容納人數1806人
明谷通訊行,QMA02165,中正里,屏東縣屏東市中正里02鄰華正路190號,"22.685741931823724, 120.49916905676484",1,480.0,屏東分局,
—,QMA02310,中正里,屏東縣屏東市中正里02鄰華正路214號,"22.685603557714124, 120.49864633755884",1,162.0,屏東分局,
—,QMA02309,中正里,屏東縣屏東市中正里30鄰莊敬街2段6號,"22.68756284916304, 120.50349453940635",1,44.0,屏東分局,
上興北帝國大樓,QMA02305,中正里,屏東縣屏東市中正里30鄰莊敬街2段8號,"22.687582951773045, 120.50343171057092",1,1967.0,屏東分局,
崇蘭教會,QMA02166,中正里,屏東縣屏東市中正里30鄰莊敬街2段89巷15號,"22.688624680967298, 120.50210185510444",1,160.0,屏東分局,
知性人生大樓-,QMA02307,中正里,屏東縣屏東市中正里05鄰民富街6巷36號,"22.686579352333045, 120.49914449707693",1,212.0,屏東分局,
