類別,電腦編號,行政區,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)","unnamed (5)","unnamed (6)"
一般建築,FS1581,區文德里,文德里,高雄市鳳山區文德里建國路3段242號,"22.637547,120.351668",1,710.0,鳳山分局,,,,,,,
一般建築,FS4555,區新甲里,新甲里,高雄市鳳山區新甲里新康街286號,"22.612331,120.344481",1,710.0,鳳山分局,,,,,,,
一般建築,FS4560,區新甲里,新甲里,高雄市鳳山區新甲里海洋一路60巷13號,"22.609213,120.343641",1,719.0,鳳山分局,,,,,,,
一般建築,FS4561,區新甲里,新甲里,高雄市鳳山區新甲里海洋一路60巷23號,"22.60884,120.343678",1,719.0,鳳山分局,,,,,,,
一般建築,FS0460,區鎮北里,鎮北里,高雄市鳳山區鎮北里文龍路85號,"22.643795,120.347211",3,721.0,鳳山分局,,,,,,,
一般建築,FS1438,區文華里,文華里,高雄市鳳山區文華里文湖街22號,"22.643764,120.353232",1,729.0,鳳山分局,,,,,,,
一般建築,FS2740,區忠孝里,忠孝里,高雄市鳳山區忠孝里青年路二段89號,"22.630785,120.349",1,733.0,鳳山分局,,,,,,,
一般建築,FS2723,區忠孝里,忠孝里,高雄市鳳山區忠孝里光復路65號,"22.629289634571524, 120.34772578260977",1,735.0,鳳山分局,,,,,,,
一般建築,FS3026,區東門里,東門里,高雄市鳳山區東門里中山東路60之3號,"22.6237,120.370223",1,743.0,鳳山分局,,,,,,,
一般建築,FS2059,區生明里,生明里,高雄市鳳山區生明里王生明路150號,"22.618514,120.362489",1,746.0,鳳山分局,,,,,,,
一般建築,FS2325,區協和里,協和里,高雄市鳳山區協和里自治街15巷57號,"22.625142,120.351789",1,755.0,鳳山分局,,,,,,,
一般建築,FS1124,區文山里,文山里,高雄市鳳山區文山里文澄街10號,"22.643339,120.355631",1,757.0,鳳山分局,,,,,,,
一般建築,FS5692,區鳳東里,鳳東里,高雄市鳳山區鳳東里鳳林路101之1號,"22.62248,120.375829",1,760.0,鳳山分局,,,,,,,
一般建築,FS4820,區新富里,新富里,高雄市鳳山區新富里新富路255號,"22.613254,120.340121",1,761.0,鳳山分局,,,,,,,
一般建築,FS1435,區文華里,文華里,高雄市鳳山區文華里文化路8號,"22.63408,120.354474",1,763.0,鳳山分局,,,,,,,
一般建築,FS2717,區忠孝里,忠孝里,高雄市鳳山區忠孝里青年路2段588巷5號,"22.646625,120.34913",1,771.0,鳳山分局,,,,,,,
一般建築,FS1264,區文英里,文英里,高雄市鳳山區文英里八德路2段219號,"22.645441,120.35285",1,774.0,鳳山分局,,,,,,,
一般建築,FS5747,區鳳崗里,鳳崗里,高雄市鳳山區鳳崗里光遠路121巷81號,"22.622207,120.364247",2,786.0,鳳山分局,,,,,,,
