電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註,placemark_address
C033,一般大樓,北興里,24.880253,"121.242531 ",B2,2675.0,龍潭分局,,桃園市龍潭區北興里民豐一街99號
C034,一般大樓,黃唐里,24.884854,"121.231609 ",B2,611.0,龍潭分局,,桃園市龍潭區黃唐里龍平路820巷8-12號
C035,一般大樓,祥和里,24.886292,"121.237512 ",B3,1472.0,龍潭分局,,桃園市龍潭區祥和里武中路628巷67號
C036,一般大樓,黃唐里,24.890639,"121.223631 ",B2,425.0,龍潭分局,,桃園市龍潭區黃唐里福龍路二段68巷27號
D001,政府機關,佳安里,,,B1,2443.0,龍潭分局,,(機敏單位)桃園市龍潭區佳安里文化路1000號
D006,一般大樓,建林里,24.857356,"121.251636 ",B1,880.0,龍潭分局,,桃園市龍潭區建林里建國路75巷12弄11號
D007,政府機關,建林里,24.845441,"121.234533 ",B2,2820.0,龍潭分局,,桃園市龍潭區建林里中正路三林段500號
D008,政府機關,富林里,,,B1,4412.0,龍潭分局,,(機敏單位)桃園市龍潭區富林里中正路三林段617號
D010,學校,三坑里,24.844722,"121.237144 ",B1,525.0,龍潭分局,,桃園市龍潭區三坑里永昌路51巷85號
D011,一般大樓,大平里,24.818241,"121.242401 ",B1,396.0,龍潭分局,,桃園市龍潭區大平里芝麻1號
D012,一般大樓,大平里,24.824073,"121.236724 ",B2,33.0,龍潭分局,,桃園市龍潭區大平里二坪36號
D013,一般大樓,大平里,24.817711,"121.242840 ",B1,3258.0,龍潭分局,,桃園市龍潭區大平里民強街1號
D014,一般大樓,大平里,24.819856,"121.235649 ",B2,445.0,龍潭分局,,桃園市龍潭區大平里民治18街45號
D015,一般大樓,大平里,24.821406,"121.239261 ",B3,2376.0,龍潭分局,,桃園市龍潭區大平里民有路257號
D016,一般大樓,建林里,24.840932,"121.233326 ",B1,1797.0,龍潭分局,,桃園市龍潭區建林里民族路278巷88弄3衖1號
D017,一般住宅,建林里,24.838505,"121.233009 ",B1,339.0,龍潭分局,,桃園市龍潭區建林里民族路370巷74號
D018,一般大樓,三林里,24.836291,"121.233427 ",B1,456.0,龍潭分局,,桃園市龍潭區三林里民族路416巷16號
D020,學校,佳安里,24.840714,"121.240421 ",B1,553.0,龍潭分局,,桃園市龍潭區佳安里文化路137號
D022,台北教會,佳安里,24.838046,"121.237217 ",B1,807.0,龍潭分局,,桃園市龍潭區佳安里佳安西路4巷101號
D023,一般大樓,大平里,24.825492,"121.237283 ",B1,1205.0,龍潭分局,,桃園市龍潭區大平里龍源路大平段278之1號
D024,一般大樓,三坑里,24.834476,"121.247357 ",B1,632.0,龍潭分局,,桃園市龍潭區三坑里19鄰永昌路24巷1號
D025,一般大樓,大平里,24.818153,"121.237981 ",B2,6111.0,龍潭分局,,桃園市龍潭區大平里民治路300號
D026,一般大樓,三林里,24.836774,"121.233873 ",B1,975.0,龍潭分局,,桃園市龍潭區三林里1民族路372號
D027,一般大樓,三林里,24.835405,"121.232459 ",B2,2236.0,龍潭分局,,桃園市龍潭區民族路434巷20號
D028,一般大樓,三林里,24.830753,"121.233549 ",B2,573.0,龍潭分局,,桃園市龍潭區三林里三角林街9號
D029,一般大樓,富林里,24.845093,"121.228083 ",B3,6114.0,龍潭分局,,桃園市龍潭區富林里民生路141巷150號
D030,工廠,三林里,24.830492,"121.232844 ",B1,212.0,龍潭分局,,桃園市龍潭區三林里三角林街56號
D031,一般大樓,大平里,24.824878,"121.241640 ",B3,2769.0,龍潭分局,,桃園市龍潭區大平里民有一街199號
D032,一般民宅,大平里,24.820674,"121.237511 ",B1,209.0,龍潭分局,,桃園市龍潭區大平里民治路355號
D033,一般大樓,佳安里,24.849066,"121.244621 ",B1,1703.0,龍潭分局,,桃園市龍潭區佳安里文化路405巷50-3號
D034,一般大樓,大平里,24.832846,"121.213770 ",B3,3285.0,龍潭分局,,桃園市龍潭區大平里民有一街233-25號
D035,一般大樓,三坑里,24.824281,"121.241325 ",B1,2062.0,龍潭分局,,桃園市龍潭區三坑里永昌路51巷21號
E001,工廠,高平里,24.835356,"121.247742 ",B2,52.0,龍潭分局,,桃園市龍潭區高平里高楊南路320巷6弄2號
E002,工廠,高平里,24.832881,"121.213753 ",B1,32.0,龍潭分局,,桃園市龍潭區高平里高楊南路320巷12弄6號
E003,工廠,高平里,24.832764,"121.213560 ",B1,63.0,龍潭分局,,桃園市龍潭區高平里高楊南路320巷2號
E004,工廠,高平里,24.833064,"121.214063 ",B1,55.0,龍潭分局,,桃園市龍潭區高平里高楊南路320巷12弄9號
E005,工廠,高平里,24.832719,"121.213472 ",B1,277.0,龍潭分局,,桃園市龍潭區高平里高楊南路384號
E007,工廠,高平里,24.831898,"121.214404 ",B1,35.0,龍潭分局,,桃園市龍潭區高平里高楊南路368號
E008,工廠,高平里,24.832031,"121.214258 ",B1,1333.0,龍潭分局,,桃園市龍潭區高平里中豐路高平段403號
E009,工廠,高平里,24.833467,"121.206209 ",B1,466.0,龍潭分局,,桃園市龍潭區高平里高楊南路320巷10號
E011,工廠,高原里,24.832831,"121.213762 ",B1,1651.0,龍潭分局,,桃園市龍潭區高原里中原路2段374號
