類別,電腦編號,村里別,地址,地下樓層數,可容納人數,轄管分局,備註,placemark_address
光壁企業股份有限公司,163.0,虎溪里,雲林縣斗六市虎溪里雲科路3段55號,1.0,113.0,斗六分局,,雲林縣斗六市虎溪里雲科路3段55號
豐泰公司,164.0,虎溪里,雲林縣斗六市虎溪里西平路666號,1.0,233.0,斗六分局,,雲林縣斗六市虎溪里西平路666號
賜芳公司,165.0,虎溪里,雲林縣斗六市虎溪里西平路636號,1.0,124.0,斗六分局,,雲林縣斗六市虎溪里西平路636號
豐泰公司,166.0,虎溪里,雲林縣斗六市虎溪里西平路600號,1.0,1092.0,斗六分局,,雲林縣斗六市虎溪里西平路600號
豐瑞公司,167.0,虎溪里,雲林縣斗六市虎溪里文生路10號,1.0,218.0,斗六分局,,雲林縣斗六市虎溪里文生路10號
大山電纜,168.0,虎溪里,雲林縣斗六市虎溪里西平路369號,1.0,117.0,斗六分局,,雲林縣斗六市虎溪里西平路369號
味全公司(一廠),169.0,長平里,雲林縣斗六市長平里長林路18號,1.0,248.0,斗六分局,,雲林縣斗六市長平里長林路18號
味全公司(二廠),170.0,長平里,雲林縣斗六市長平里長林路18號,1.0,248.0,斗六分局,,雲林縣斗六市長平里長林路18號
味全公司(三廠),171.0,長平里,雲林縣斗六市長平里長林路18號,1.0,120.0,斗六分局,,雲林縣斗六市長平里長林路18號
味全公司(四廠),172.0,長平里,雲林縣斗六市長平里長林路18號,1.0,240.0,斗六分局,,雲林縣斗六市長平里長林路18號
上銀科技公司,173.0,長平里,雲林縣斗六市長平里9鄰科福三街87號,1.0,1851.0,斗六分局,,雲林縣斗六市長平里9鄰科福三街87號
欣欣生技(輔導會食品廠),174.0,保庄里,雲林縣斗六市保庄里保長路60號,1.0,100.0,斗六分局,,雲林縣斗六市保庄里保長路60號
欣欣生技,175.0,保庄里,雲林縣斗六市保庄里保長路60號,1.0,1070.0,斗六分局,,雲林縣斗六市保庄里保長路60號
上久工業,176.0,保庄里,雲林縣斗六市保庄里1鄰廣西路16號,1.0,501.0,斗六分局,,雲林縣斗六市保庄里1鄰廣西路16號
安生醫院,177.0,保庄里,雲林縣斗六市保庄里保長路498號,1.0,1834.0,斗六分局,,雲林縣斗六市保庄里保長路498號
公寓,178.0,信義里,雲林縣斗六市信義里愛國街11號,1.0,334.0,斗六分局,,雲林縣斗六市信義里愛國街11號
公寓,179.0,信義里,雲林縣斗六市信義里愛國街2號,1.0,121.0,斗六分局,,雲林縣斗六市信義里愛國街2號
公寓,180.0,信義里,"雲林縣斗六市信義里愛國街2號之2 ",1.0,270.0,斗六分局,,雲林縣斗六市信義里愛國街2號之2
公寓,181.0,信義里,"雲林縣斗六市信義里愛國街4號之2 ",1.0,120.0,斗六分局,,雲林縣斗六市信義里愛國街4號之2
公寓,182.0,信義里,"雲林縣斗六市信義里鎮北路19號 ",1.0,142.0,斗六分局,,雲林縣斗六市信義里鎮北路19號
公寓,183.0,信義里,"雲林縣斗六市信義里大同路23號 ",1.0,265.0,斗六分局,,雲林縣斗六市信義里大同路23號
公寓,184.0,信義里,"雲林縣斗六市信義里民生路170號 ",1.0,378.0,斗六分局,,雲林縣斗六市信義里民生路170號
公寓,185.0,信義里,"雲林縣斗六市信義里大同路13號 ",1.0,153.0,斗六分局,,雲林縣斗六市信義里大同路13號
公寓,186.0,信義里,"雲林縣斗六市信義里大同路156號 ",1.0,3169.0,斗六分局,,雲林縣斗六市信義里大同路156號
公寓,187.0,信義里,"雲林縣斗六市信義里太平路7號 ",1.0,913.0,斗六分局,,雲林縣斗六市信義里太平路7號
不公開,188.0,信義里,"雲林縣斗六市信義里民生路273號 ",1.0,1398.0,斗六分局,,雲林縣斗六市信義里民生路273號
農田水利會,189.0,信義里,雲林縣斗六市信義里興華街2號,1.0,2593.0,斗六分局,,雲林縣斗六市信義里興華街2號
斗六市公所停車場,190.0,信義里,"雲林縣斗六市信義里文化路6號 ",1.0,4421.0,斗六分局,,雲林縣斗六市信義里文化路6號
緻儷伯爵酒店,191.0,信義里,雲林縣斗六市信義里中山路6號之21,1.0,364.0,斗六分局,,雲林縣斗六市信義里中山路6號之21
不公開,192.0,信義里,雲林縣斗六市信義里民生路223號,1.0,456.0,斗六分局,,雲林縣斗六市信義里民生路223號
